ordered_tests,TestInSeq,TotalAcc,f_bacc,i_bacc,a_bacc
pnrcfak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pnrcakf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pnrcafk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pnrakfc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pnrakcf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pnrafkc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pnrafck,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pnrackf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pnracfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pnakfcr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pnakfrc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pnakcfr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pnakcrf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pnakrfc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pnakrcf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pnafkcr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pnafkrc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pnafckr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pnafcrk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pnafrkc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pnafrck,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pnackfr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pnackrf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pnacfkr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pnacfrk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pnacrkf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pnacrfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pnarkfc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pnarkcf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pnarfkc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
pnarfck,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pnarckf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pnarcfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pckfnra,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pckfnar,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pckfrna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pckfran,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pckfanr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pckfarn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcknfra,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcknfar,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcknrfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcknraf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcknafr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcknarf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pckrfna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pckrfan,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pckrnfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pckrnaf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pckrafn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pckranf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pckafnr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pckafrn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pckanfr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pckanrf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pckarfn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pckarnf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcfknra,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcfknar,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcfkrna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcfkran,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcfkanr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcfkarn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcfnkra,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcfnkar,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcfnrka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcfnrak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcfnakr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcfnark,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcfrkna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcfrkan,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcfrnka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcfrnak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcfrakn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcfrank,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcfaknr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcfakrn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcfankr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcfanrk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcfarkn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcfarnk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcnkfra,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcnkfar,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcnkrfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcnkraf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcnkafr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcnkarf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcnfkra,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcnfkar,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcnfrka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcnfrak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcnfakr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcnfark,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcnrkfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcnrkaf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcnrfka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcnrfak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcnrakf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcnrafk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcnakfr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcnakrf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcnafkr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcnafrk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcnarkf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcnarfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcrkfna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcrkfan,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcrknfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcrknaf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcrkafn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcrkanf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcrfkna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcrfkan,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcrfnka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcrfnak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcrfakn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcrfank,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcrnkfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcrnkaf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcrnfka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
pcrnfak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcrnakf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcrnafk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcrakfn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcraknf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcrafkn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcrafnk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcrankf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcranfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcakfnr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcakfrn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcaknfr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcaknrf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcakrfn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcakrnf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcafknr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcafkrn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcafnkr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcafnrk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcafrkn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcafrnk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcankfr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcankrf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcanfkr,6,0.9417360285374554,1,0.9523346303501945,0.9016064257028112
pcanfrk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcanrkf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcanrfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcarkfn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcarknf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcarfkn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
pcarfnk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
pcarnkf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
pcarnfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prkfnca,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prkfnac,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prkfcna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prkfcan,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prkfanc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prkfacn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prknfca,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prknfac,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prkncfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prkncaf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prknafc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prknacf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prkcfna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prkcfan,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prkcnfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prkcnaf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prkcafn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prkcanf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prkafnc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prkafcn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prkanfc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prkancf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prkacfn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prkacnf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prfknca,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prfknac,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prfkcna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prfkcan,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prfkanc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prfkacn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prfnkca,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prfnkac,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prfncka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prfncak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prfnakc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prfnack,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prfckna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prfckan,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prfcnka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prfcnak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prfcakn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prfcank,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prfaknc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prfakcn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prfankc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prfanck,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prfackn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prfacnk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prnkfca,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prnkfac,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prnkcfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prnkcaf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prnkafc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prnkacf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prnfkca,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prnfkac,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prnfcka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prnfcak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prnfakc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prnfack,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prnckfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prnckaf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prncfka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prncfak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prncakf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prncafk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prnakfc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prnakcf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prnafkc,6,0.9690844233055886,0.9509433962264151,0.9747081712062257,1
prnafck,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prnackf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prnacfk,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prckfna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prckfan,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prcknfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prcknaf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prckafn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prckanf,6,0.8983353151010701,0.92578125,0.8723241590214068,0.9959839357429718
prcfkna,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prcfkan,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prcfnka,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
prcfnak,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prcfakn,6,0.8555291319857312,0.7707547169811321,0.8852140077821011,0.9970439189189189
prcfank,6,0.713436385255648,0.7548070623689727,0.7590910172657932,0.798089316726365
prcnkfa,6,0.9797859690844233,1,0.9834630350194553,0.9658634538152611
