ordered_tests,TestInSeq,TotalAcc,f_bacc,i_bacc,a_bacc
kfnarpc,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcnpra,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcnpar,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcnrpa,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcnrap,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcnapr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcnarp,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcpnra,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcpnar,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcprna,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcpran,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcpanr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcparn,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcrnpa,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcrnap,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcrpna,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcrpan,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcranp,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcrapn,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcanpr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcanrp,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcapnr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcaprn,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcarnp,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfcarpn,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpncra,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpncar,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpnrca,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpnrac,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpnacr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpnarc,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpcnra,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpcnar,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpcrna,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpcran,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpcanr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpcarn,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfprnca,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfprnac,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfprcna,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfprcan,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpranc,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpracn,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
kfpancr,1,0.7368421052631579,0.7324561403508771,0.7851805728518058,0.8544668587896254
